Marca temporal,¿Qué semestre cursas?,¿Qué edad tienes? ,¿Cual es tu origen? (Lugar de Nacimiento),Género ,¿Conoces acerca de las consecuencias de consumir estas bebidas? (Cafeína y Energeticas),¿Consumes alguna de las siguientes bebidas?,¿Con que frecuencia consumes estas bebidas?,¿En que momento del día sueles consumir estas bebidas?,¿Cual es tu principal motivo para consumir estas bebidas?,¿Cuántas materias cursas en la universidad?,"¿Has experimentado efectos secundarios(Ansiedad, insomnio, etc.) después de consumirlas? ",¿Como consideras que estas bebidas afectan tu rendimiento academico?,¿Cuánto gastas aproximadamente a la semana en estas bebidas?
22/4/2026 10:58:34,3,18,Linares,Otros,Si,Café,5 veces por semana,Tarde,Costumbre,7,No,No tiene efecto,10.000- 20.000
22/4/2026 11:00:30,3,19,Pasto,Femenino,Si,Ninguna,1 vez por semana,Mañana,Costumbre,6,No,No tiene efecto,3
22/4/2026 11:12:13,3,18,PASTO,Masculino,Si,"Café, Bebidas Energéticas",5 veces por semana,Varia,Otro,7,No,No estoy seguro/a,20.000-25.000
22/4/2026 11:28:25,10,22,Pasto,Femenino,Si,Café,4 veces por semana,Mañana,Costumbre,Mas de 7,No,No tiene efecto,20.000-25.000
22/4/2026 11:28:31,10,24,Pasto,Femenino,Si,Bebidas Energéticas,2 veces por semana,Noche,Mantenerme despierto/a,7,Si,No estoy seguro/a,20.000-25.000
22/4/2026 11:28:45,3,21,Pasto (Nariño),Masculino,Si,"Café, Bebidas Energéticas",6 veces por semana,Tarde,Mantenerme despierto/a,7,Si,Mejora mi rendimiento,20.000-25.000
22/4/2026 11:29:14,4,19,Pasto,Masculino,Si,Café,3 veces por semana,Mañana,Sabor,6,No,No tiene efecto,3.000-10.000
22/4/2026 11:40:14,8,21,Pasto ,Femenino,Si,Café,4 veces por semana,Mañana,Costumbre,5,No,No estoy seguro/a,3.000-10.000
23/4/2026 10:27:15,3,20,Pasto,Masculino,Si,"Café, Bebidas Energéticas",1 vez por semana,Varia,Mantenerme despierto/a,6,No,No tiene efecto,3
23/4/2026 10:31:30,2,22,Pasto,Femenino,Si,Café,3 veces por semana,Tarde,Costumbre,7,No,No tiene efecto,3.000-10.000
23/4/2026 10:33:04,5,23,Bogotá ,Masculino,Si,Bebidas Energéticas,4 veces por semana,Varia,Sabor,6,No,No tiene efecto,3.000-10.000
23/4/2026 10:36:49,5,20,Pasto,Femenino,Si,Café,10 veces por semana,Varia,Costumbre,6,No,No tiene efecto,10.000- 20.000
23/4/2026 10:37:22,3,20,Pasto,Femenino,Si,"Café, Bebidas Energéticas",1 vez por semana,Mañana,Sabor,6,Si,No tiene efecto,3
23/4/2026 10:38:24,3,19,Puerto asis,Masculino,Si,Café,4 veces por semana,Mañana,Sabor,7,No,No tiene efecto,3.000-10.000
23/4/2026 10:39:42,3,19,Pasto ,Femenino,Si,Bebidas Energéticas,2 veces por semana,Varia,Sabor,6,Si,No estoy seguro/a,3
23/4/2026 10:39:50,3,24,Tuquerres,Masculino,No,Bebidas Energéticas,2 veces por semana,Tarde,Mantenerme despierto/a,7,Si,Mejora mi rendimiento,10.000- 20.000
23/4/2026 10:40:45,3,24,Tuquerres,Masculino,No,Bebidas Energéticas,3 veces por semana,Tarde,Mantenerme despierto/a,7,Si,Mejora mi rendimiento,10.000- 20.000
23/4/2026 10:41:41,7,23,Pasto,Femenino,No,Bebidas Energéticas,1 vez por semana,Tarde,Mantenerme despierto/a,5,Si,No tiene efecto,10.000- 20.000
23/4/2026 10:43:37,8,19,La cruz nariño,Masculino,Si,Ninguna,1 vez por semana,Tarde,Mantenerme despierto/a,7,Si,No tiene efecto,3
23/4/2026 10:43:42,5,24,Pasto,Femenino,Si,Café,10 veces por semana,Noche,Mantenerme despierto/a,Mas de 7,Si,No estoy seguro/a,3.000-10.000
23/4/2026 10:45:01,3,20,pasto,Masculino,Si,Café,7 veces por semana,Mañana,Costumbre,7,No,Mejora mi rendimiento,No gasto nada
23/4/2026 10:47:03,3,25,Cali valle ,Femenino,Si,Café,2 veces por semana,Mañana,Mantenerme despierto/a,6,No,No tiene efecto,3
23/4/2026 10:47:43,10,19,Pasto,Masculino,Si,"Café, Bebidas Energéticas",1 vez por semana,Varia,Mantenerme despierto/a,7,Si,No tiene efecto,3.000-10.000
23/4/2026 10:48:24,3,21,Pasto,Masculino,No,"Café, Bebidas Energéticas",2 veces por semana,Mañana,Mantenerme despierto/a,7,No,No estoy seguro/a,10.000- 20.000
23/4/2026 10:49:04,3,√289,Un hospital,Masculino,Si,"Café, Bebidas Energéticas, Ninguna, Otros",10 veces por semana,Varia,Costumbre,Mas de 7,No,No tiene efecto,3
23/4/2026 10:49:42,4,20,Pasto,Femenino,Si,Café,10 veces por semana,Varia,Costumbre,5,No,No estoy seguro/a,Más de 25.000
23/4/2026 10:51:52,10,24,Pasto,Femenino,Si,Café,10 veces por semana,Varia,Sabor,6,No,No tiene efecto,10.000- 20.000
23/4/2026 10:52:11,3,22,Pasto ,Masculino,Si,"Café, Bebidas Energéticas",6 veces por semana,Varia,Costumbre,5,Si,No estoy seguro/a,Más de 25.000
23/4/2026 10:52:24,3,19,Policarpa,Masculino,Si,Ninguna,Nunca,Nunca,Otro,7,No,No estoy seguro/a,No gasto nada
23/4/2026 10:53:06,2,19,Pasto ,Femenino,Si,Café,7 veces por semana,Mañana,Costumbre,6,No,No estoy seguro/a,No gasto nada
23/4/2026 10:54:22,10,50,Pasto ,Masculino,Si,Ninguna,Nunca,Nunca,Otro,Mas de 7,No,No estoy seguro/a,No gasto nada
23/4/2026 10:56:03,2,19,Cali,Femenino,Si,Café,5 veces por semana,Mañana,Costumbre,7,No,No tiene efecto,3.000-10.000
23/4/2026 10:58:31,1,22,Pasto,Femenino,Si,"Café, Bebidas Energéticas",3 veces por semana,Noche,Mantenerme despierto/a,5,No,Mejora mi rendimiento,20.000-25.000
23/4/2026 10:58:50,2,21,Pasto Nariño ,Masculino,Si,Café,10 veces por semana,Varia,Costumbre,7,No,No estoy seguro/a,No gasto nada
23/4/2026 11:03:13,,,Pasto ,Femenino,Si,Café,2 veces por semana,Mañana,Costumbre,4,No,No tiene efecto,3
23/4/2026 11:25:21,1,19,Pasto,Femenino,Si,Bebidas Energéticas,1 vez por semana,Tarde,Mantenerme despierto/a,6,No,No tiene efecto,3
23/4/2026 11:29:19,3,21,Pasto,Masculino,No,"Café, Bebidas Energéticas",5 veces por semana,Varia,Mantenerme despierto/a,6,Si,Mejora mi rendimiento,10.000- 20.000
